Store ID ,Daily_Customer_Count,Store_Sales
1,530,66490
2,210,39820
3,720,54010
4,620,53730
5,450,46620
6,760,45260
7,1030,72240
8,1020,37720
9,680,46310
10,1130,44150
11,1090,71280
12,720,57620
13,1050,60470
14,1160,59130
15,770,66360
16,790,78870
17,1440,77250
18,670,38170
19,1030,63540
20,980,40190
21,370,43460
22,690,68890
23,950,52780
24,620,50680
25,840,41880
26,820,70050
27,1100,25820
28,980,60530
29,710,78100
30,650,84860
31,990,80140
32,990,14920
33,880,60460
34,620,74560
35,1020,72430
36,700,45460
37,610,41570
38,1080,62870
39,1010,55170
40,10,45480
41,1250,49550
42,600,48140
43,730,67640
44,780,39730
45,520,35800
46,870,49270
47,690,66510
48,910,62530
49,1260,59980
50,1040,76350
51,910,81820
52,1300,57830
53,320,70450
54,530,67000
55,980,64090
56,740,48670
57,1240,66210
58,1080,83660
59,1080,70770
60,460,53870
61,300,71300
62,530,46100
63,600,49100
64,860,65920
65,590,58660
66,920,69130
67,570,49080
68,290,72710
69,650,33430
70,710,42430
71,850,56650
72,530,33580
73,630,67370
74,700,71780
75,650,84840
76,720,82070
77,450,26770
78,1390,65560
79,960,38660
80,600,65660
81,620,40700
82,1020,88910
83,330,57860
84,1410,42670
85,1200,90180
86,280,51280
87,940,97260
88,850,39650
89,960,45720
90,420,42060
91,830,65350
92,600,67080
93,400,54030
94,760,56360
95,1470,77120
96,500,50810
97,1120,60960
98,1160,61180
99,820,63660
100,1140,41190
101,900,78420
102,760,65580
103,1170,89080
104,1080,94170
105,1000,50950
106,690,65180
107,810,69310
108,630,79210
109,650,23740
110,920,36330
111,1260,51700
112,800,62950
113,1330,56010
114,940,45080
115,1210,46830
116,660,64750
117,770,80780
118,460,31180
119,860,56710
120,780,49390
121,890,66000
122,900,32770
123,530,46580
124,790,79780
125,370,35510
126,610,80970
127,500,61150
128,750,49210
129,980,79950
130,530,68740
131,910,57480
132,620,72630
133,1170,50070
134,900,40490
135,980,51850
136,740,42840
137,810,60940
138,810,62280
139,300,76530
140,790,85130
141,800,48590
142,760,73080
143,530,48950
144,540,48560
145,620,59380
146,1010,51190
147,130,58920
148,730,50360
149,830,38070
150,1060,49170
151,770,39740
152,70,63730
153,670,85330
154,490,27410
155,670,37320
156,380,71120
157,1200,72800
158,350,34410
159,1090,42530
160,1230,54300
161,680,50780
162,580,45020
163,680,69600
164,340,80340
165,700,37810
166,580,46140
167,680,99570
168,630,38650
169,860,49800
170,490,69910
171,870,44910
172,990,78470
173,670,47460
174,490,33460
175,580,44090
176,700,42620
177,670,69450
178,390,73120
179,590,48300
180,1350,58090
181,840,74250
182,1100,40930
183,950,70930
184,950,64670
185,650,77420
186,230,32330
187,1060,41080
188,1180,42860
189,710,68450
190,480,39730
191,810,83750
192,1140,69940
193,1070,67710
194,790,67360
195,690,52460
196,610,88760
197,1240,67030
198,840,78230
199,460,62270
200,940,49760
201,590,73660
202,890,72320
203,770,68890
204,900,34180
205,1020,58260
206,910,38120
207,660,49070
208,480,61660
209,1080,37830
210,690,52270
211,510,52280
212,1030,70810
213,370,71530
214,640,77260
215,750,75550
216,370,33730
217,840,66270
218,840,55820
219,890,68430
220,620,73990
221,310,62800
222,550,33740
223,380,63830
224,1200,24410
225,800,70020
