Store ID ,Store_Area,Items_Available
1,1659,1961
2,1461,1752
3,1340,1609
4,1451,1748
5,1770,2111
6,1442,1733
7,1542,1858
8,1261,1507
9,1090,1321
10,1030,1235
11,1187,1439
12,1751,2098
13,1746,2064
14,1615,1931
15,1469,1756
16,1644,1950
17,1578,1907
18,1703,2045
19,1438,1731
20,1940,2340
21,1421,1700
22,1458,1746
23,1719,2065
24,1449,1752
25,1234,1488
26,1732,2073
27,1475,1777
28,1390,1648
29,1642,1943
30,1715,2071
31,1439,1746
32,1250,1508
33,1331,1608
34,1784,2163
35,1375,1648
36,1871,2230
37,1442,1744
38,1174,1411
39,1839,2204
40,1270,1516
41,1435,1725
42,965,1152
43,1665,2001
44,1780,2117
45,1009,1194
46,1227,1471
47,1769,2087
48,1660,1982
49,1472,1776
50,1408,1688
51,1514,1820
52,1565,1880
53,1074,1288
54,1864,2240
55,1570,1898
56,1417,1701
57,1734,2060
58,1470,1763
59,1761,2104
60,1756,2070
61,1704,2045
62,2011,2391
63,1472,1748
64,1310,1561
65,1544,1821
66,1707,2052
67,1881,2262
68,1416,1681
69,1631,1941
70,1318,1576
71,1692,2019
72,1152,1380
73,891,1073
74,1468,1749
75,1539,1833
76,1635,1956
77,1267,1520
78,1250,1475
79,1720,2044
80,1462,1761
81,1431,1711
82,1539,1858
83,1441,1723
84,1572,1884
85,1287,1525
86,1468,1760
87,1931,2342
88,1252,1506
89,1238,1468
90,1479,1758
91,1590,1912
92,2169,2617
93,1838,2205
94,1385,1655
95,1921,2305
96,1975,2385
97,1853,2235
98,1816,2171
99,1785,2147
100,1579,1899
101,1096,1321
102,1919,2294
103,1262,1500
104,1374,1655
105,1309,1587
106,1207,1434
107,1692,2031
108,1929,2311
109,1573,1878
110,1415,1700
111,1162,1382
112,1485,1787
113,1897,2248
114,1607,1927
115,1909,2287
116,1274,1503
117,1157,1379
118,1712,2046
119,1500,1798
120,1682,2017
121,1441,1727
122,1525,1835
123,1408,1669
124,1947,2333
125,1164,1390
126,1787,2137
127,1871,2241
128,1718,2051
129,1365,1636
130,1368,1654
131,1342,1595
132,1076,1270
133,1396,1672
134,1713,2071
135,1370,1638
136,1667,1993
137,1638,1972
138,1581,1905
139,1795,2187
140,1179,1412
141,1978,2374
142,1688,2042
143,1214,1456
144,1504,1805
145,1498,1770
146,1462,1762
147,1442,1750
148,1250,1486
149,1229,1480
150,1936,2300
151,1369,1629
152,1662,1986
153,1548,1855
154,1649,1963
155,1393,1663
156,1450,1734
157,1613,1921
158,1408,1696
159,775,932
160,1275,1534
161,1740,2078
162,1372,1657
163,1414,1723
164,2044,2474
165,1823,2176
166,955,1133
167,1465,1763
168,1331,1606
169,1232,1487
170,1481,1765
171,1343,1599
172,1539,1837
173,1007,1207
174,1762,2145
175,1527,1832
176,1356,1619
177,1536,1848
178,1605,1902
179,1704,2032
180,1626,1941
181,1612,1939
182,1174,1396
183,1923,2339
184,1702,2053
185,1398,1692
186,1437,1717
187,1524,1796
188,1660,1985
189,1302,1569
190,1666,2000
191,1391,1649
192,1778,2148
193,1462,1770
194,1751,2115
195,1652,1982
196,1841,2215
197,1496,1791
198,1504,1827
199,1524,1808
200,1148,1371
201,1468,1744
202,1310,1558
203,1321,1579
204,992,1192
205,1540,1857
206,1807,2149
207,1526,1853
208,1406,1677
209,1703,2055
210,1575,1872
211,1309,1572
212,1488,1807
213,1658,1988
214,1863,2245
215,1458,1725
216,1604,1909
217,1575,1899
218,1525,1829
219,1451,1737
220,1390,1687
221,1442,1742
222,1620,1922
223,1251,1527
224,1318,1606
225,1647,1962
226,1829,2175
227,1852,2227
228,1699,2053
229,1325,1595
230,1350,1634
231,1347,1628
232,1397,1661
233,1245,1499
234,1366,1649
235,1378,1658
236,1767,2110
237,1184,1434
238,1257,1505
239,1863,2247
240,1881,2244
241,1329,1609
242,1539,1848
243,1557,1861
244,2007,2397
245,1185,1418
246,1657,2003
247,1294,1539
248,1296,1559
249,1733,2097
250,1641,1976
251,1373,1648
252,1550,1845
253,1583,1907
254,1428,1719
255,1604,1925
256,1439,1735
257,1648,2003
258,1025,1231
259,2001,2394
260,1145,1370
261,1174,1426
262,913,1106
263,1199,1433
264,1875,2254
265,1153,1397
266,1240,1492
267,1381,1660
268,1701,2030
269,1206,1456
270,1476,1777
271,1189,1439
272,1837,2220
273,1319,1571
274,1617,1901
275,1631,1967
276,1517,1805
277,1764,2109
278,1572,1869
279,1855,2197
280,1327,1571
281,1270,1515
282,1734,2073
283,1533,1848
284,1390,1646
285,1856,2216
286,1000,1215
287,1313,1586
288,1494,1799
289,1386,1674
290,1979,2364
291,1057,1264
292,902,1093
293,1347,1622
294,1314,1576
295,1513,1803
296,1305,1548
297,1180,1436
298,1142,1352
299,1471,1768
300,1075,1288
301,1578,1885
302,1585,1916
303,1391,1648
304,1577,1892
305,1092,1314
306,1375,1681
307,1523,1813
308,1373,1654
309,1550,1871
310,1614,1946
311,1566,1889
312,2019,2396
313,1494,1806
314,1659,2008
315,1766,2131
316,1293,1554
317,1375,1659
318,1236,1484
319,1332,1586
320,1513,1825
321,1208,1459
322,1190,1429
323,1448,1734
324,1771,2147
325,1365,1645
326,1510,1810
327,1458,1736
328,1808,2157
329,1615,1954
330,1640,1948
331,1060,1273
332,1633,1968
333,1222,1473
334,1619,1957
335,1624,1973
336,1887,2278
337,1320,1583
338,1450,1750
339,1455,1764
340,966,1172
341,1922,2290
342,1678,1999
343,1638,1952
344,1145,1375
345,2004,2390
346,1954,2378
347,1577,1879
348,1766,2138
349,1362,1634
350,1886,2228
351,1291,1546
352,1584,1897
353,1397,1686
354,1445,1709
355,1433,1707
356,1269,1511
357,1798,2134
358,1514,1822
359,1015,1216
360,1495,1799
361,1759,2095
362,1219,1468
363,1571,1877
364,1404,1670
365,1124,1369
366,1514,1837
367,1207,1476
368,1484,1774
369,1398,1678
370,1769,2112
371,1111,1322
372,1078,1305
373,1876,2254
374,1909,2306
375,1940,2343
376,1391,1683
377,1496,1774
378,1412,1699
379,1121,1345
380,1691,2026
381,1599,1946
382,1208,1467
383,1454,1737
384,1555,1881
385,1554,1852
386,1491,1800
387,1415,1697
388,1487,1801
389,1339,1589
390,1320,1562
391,1509,1799
392,1406,1680
393,1264,1502
394,1905,2280
395,1209,1464
396,1546,1829
397,1689,2044
398,1153,1381
399,2063,2493
400,1848,2254
401,1718,2056
402,1480,1773
403,1439,1724
404,1576,1896
405,1948,2374
406,1613,1893
407,896,1059
408,1625,1943
409,1303,1587
410,1340,1605
411,1410,1704
412,1432,1719
413,1891,2280
414,1322,1583
415,1378,1670
416,1462,1732
417,1440,1733
418,1421,1724
419,1280,1530
420,1431,1710
421,1161,1404
422,1175,1405
423,1395,1662
424,1443,1755
425,1247,1523
426,1788,2133
427,1138,1375
428,1709,2042
429,1777,2145
430,1612,1918
431,1618,1943
432,1311,1571
433,1365,1638
434,1249,1503
435,1373,1635
436,1536,1836
437,1744,2101
438,1513,1820
439,1297,1561
440,1908,2304
441,1721,2076
442,1243,1491
443,1472,1766
444,1307,1570
445,1628,1959
446,1556,1869
447,1179,1428
448,1768,2123
449,1378,1656
450,1685,2015
451,1474,1759
452,1794,2137
453,1086,1291
454,1808,2154
455,1501,1790
456,1353,1598
457,1455,1757
458,1165,1411
459,1332,1610
460,1396,1668
461,1513,1821
462,1618,1940
463,1845,2233
464,1172,1411
465,1436,1737
466,1738,2065
467,2229,2667
468,1490,1783
469,1060,1279
470,2015,2436
471,1611,1919
472,1187,1417
473,1430,1690
474,1543,1840
475,1836,2195
476,1463,1764
477,1213,1462
478,1244,1480
479,1745,2108
480,933,1121
481,1764,2132
482,1675,2002
483,1688,2046
484,1842,2204
485,1316,1597
486,1440,1719
487,1760,2111
488,1323,1571
489,1230,1466
490,1540,1838
491,1167,1388
492,1429,1695
493,1491,1770
494,1313,1574
495,1609,1943
496,1109,1342
497,1207,1440
498,902,1087
499,1191,1422
500,1335,1601
501,1382,1660
502,1588,1906
503,1918,2284
504,1484,1774
505,1334,1607
506,1556,1846
507,1784,2142
508,1244,1477
509,1496,1787
510,1719,2058
511,1678,2022
512,1247,1490
513,1191,1421
514,1832,2208
515,1271,1523
516,1735,2084
517,1627,1948
518,1351,1616
519,1520,1817
520,1490,1788
521,1777,2117
522,1688,2037
523,1537,1836
524,1622,1968
525,1148,1384
526,1001,1194
527,1857,2236
528,1552,1869
529,1700,2064
530,1554,1844
531,1482,1777
532,1275,1517
533,1642,1981
534,1381,1633
535,1381,1634
536,1057,1262
537,1192,1445
538,1601,1920
539,1622,1968
540,1607,1909
541,2214,2647
542,1633,1936
543,1546,1845
544,1475,1753
545,1270,1519
546,1185,1420
547,1614,1938
548,1141,1353
549,1244,1481
550,869,1050
551,2049,2465
552,1883,2262
553,1526,1842
554,1165,1390
555,1832,2185
556,1723,2072
557,932,1138
558,1137,1374
559,1231,1472
560,1237,1512
561,1371,1650
562,1767,2158
563,1748,2092
564,1212,1440
565,1466,1743
566,1152,1386
567,1439,1703
568,2026,2400
569,1772,2146
570,1511,1822
571,1199,1461
572,1834,2184
573,1143,1375
574,1494,1794
575,1770,2131
576,1455,1747
577,1141,1372
578,1586,1886
579,1701,2034
580,1860,2246
581,1167,1406
582,1424,1716
583,1710,2053
584,1408,1708
585,1517,1831
586,1227,1476
587,1609,1930
588,1553,1831
589,1814,2174
590,1240,1493
591,1206,1437
592,1847,2186
593,1009,1202
594,1624,1946
595,1612,1931
596,1498,1805
597,946,1125
598,1563,1872
599,1664,2016
600,1619,1947
601,1433,1722
602,1241,1489
603,1429,1720
604,1241,1488
605,1078,1306
606,1690,2065
607,1289,1536
608,1581,1894
609,1608,1945
610,1344,1608
611,1513,1804
612,1529,1839
613,1677,2014
614,1015,1229
615,1438,1751
616,1426,1718
617,1412,1701
618,1622,1944
